TreatAs_DayType,MAE,RMSE,RÂ²
CNY,50.664488636363636,69.04695077253481,0.9791760331787938
COVID,42.74369908350306,55.19864218314491,0.9917623963509923
Fri,40.84557963114165,54.92647811713145,0.993595434913745
Mon,43.534054811272895,58.77846906150795,0.9937976714304391
Sat,40.86203878549317,55.35317948861923,0.9889092247770112
Sun,39.71011371502806,53.41429945796575,0.9892699127854979
Thu,40.71123469375457,54.77624746505448,0.9939652997373838
Tue,43.60555120341979,58.43865841421656,0.9932075542160902
Wed,42.797918889618074,57.12515368746037,0.993469514429597
