index,MAE,RMSE,RÂ²,Model_Type
Scenario 1_COVID-Xgboost,46.36859210848469,59.47658115394684,0.9907072124627067,xgboost
Scenario 1_CNY-Xgboost,45.90645008786676,59.1801191129414,0.9923203600625298,xgboost
Scenario 1_Typical_Day-Xgboost,36.995933259150895,48.47785924631353,0.9946148475326291,xgboost
Scenario 1_Saturday-Xgboost,44.84271450870334,59.547077770010695,0.9872432783343924,xgboost
Scenario 1_Sunday-Xgboost,42.24114166167382,58.212866730079625,0.9870271701818945,xgboost
Scenario 1_Combined-Xgboost,44.280363046656774,58.20747015218363,0.9907134188630367,xgboost
Scenario 2_COVID-Xgboost,46.36859210848469,59.47658115394684,0.9907072124627067,xgboost
Scenario 2_CNY-Xgboost,45.90645008786676,59.1801191129414,0.9923203600625298,xgboost
Scenario 2_Typical_Day-Xgboost,36.995933259150895,48.47785924631353,0.9946148475326291,xgboost
Scenario 2_Saturday-Xgboost,44.84271450870334,59.547077770010695,0.9872432783343924,xgboost
Scenario 2_Sunday-Xgboost,42.24114166167382,58.212866730079625,0.9870271701818945,xgboost
Scenario 2_Combined-Xgboost,44.280363046656774,58.20747015218363,0.9907134188630367,xgboost
Scenario 3_COVID-Xgboost,40.95616382044605,52.206095796255696,0.9928402732619833,xgboost
Scenario 3_CNY-Xgboost,42.1246986743582,53.113892782984074,0.9938140635547157,xgboost
Scenario 3_Typical_Day-Xgboost,34.40573798555777,45.56234686366924,0.9952431078069286,xgboost
Scenario 3_Saturday-Xgboost,37.84637647026363,49.86795641386903,0.9910533321329821,xgboost
Scenario 3_Sunday-Xgboost,36.824109071487136,49.77836750255162,0.9905141108250136,xgboost
Scenario 3_Combined-Xgboost,40.543797009572856,52.130118108107965,0.9925513798588895,xgboost
Scenario 1_COVID-Random_Forest,44.56917950194478,57.276596646702714,0.991381961615153,random_forest
Scenario 1_CNY-Random_Forest,43.50187375913298,56.21008716206819,0.9930718432342184,random_forest
Scenario 1_Typical_Day-Random_Forest,36.90393640707546,47.827812131391674,0.9947582999381788,random_forest
Scenario 1_Saturday-Random_Forest,43.597427303244345,58.77399700196003,0.9875723611072235,random_forest
Scenario 1_Sunday-Random_Forest,40.69190156465698,56.58017192984428,0.987744662587906,random_forest
Scenario 1_Combined-Random_Forest,43.00736049388577,56.35803564516812,0.9912941715697345,random_forest
Scenario 2_COVID-Random_Forest,44.56917950194478,57.276596646702714,0.991381961615153,random_forest
Scenario 2_CNY-Random_Forest,43.50187375913298,56.21008716206819,0.9930718432342184,random_forest
Scenario 2_Typical_Day-Random_Forest,36.90393640707546,47.827812131391674,0.9947582999381788,random_forest
Scenario 2_Saturday-Random_Forest,43.597427303244345,58.77399700196003,0.9875723611072235,random_forest
Scenario 2_Sunday-Random_Forest,40.69190156465698,56.58017192984428,0.987744662587906,random_forest
Scenario 2_Combined-Random_Forest,43.00736049388577,56.35803564516812,0.9912941715697345,random_forest
Scenario 3_COVID-Random_Forest,38.1238093962137,49.10519267125367,0.993665550852714,random_forest
Scenario 3_CNY-Random_Forest,37.90093391714245,49.34650430170995,0.994660482993625,random_forest
Scenario 3_Typical_Day-Random_Forest,32.598257462167474,43.480083765646945,0.995667965753966,random_forest
Scenario 3_Saturday-Random_Forest,37.03861960950333,48.85049598463397,0.9914146871083364,random_forest
Scenario 3_Sunday-Random_Forest,36.44037447709996,49.162709577095484,0.9907473023998801,random_forest
Scenario 3_Combined-Random_Forest,39.43632804697101,51.60107693772237,0.9927017969760866,random_forest
Scenario 1_COVID-Lightgbm,40.74205249795423,53.17262518051723,0.9925727127611752,lightgbm
Scenario 1_CNY-Lightgbm,41.53966205094478,54.58845020325016,0.9934658256599409,lightgbm
Scenario 1_Typical_Day-Lightgbm,33.055797461062454,44.5963093480494,0.9954426857578687,lightgbm
Scenario 1_Saturday-Lightgbm,42.04535858634004,57.13738542590969,0.9882548410252999,lightgbm
Scenario 1_Sunday-Lightgbm,40.00148413800717,56.14869586576103,0.9879308664140365,lightgbm
Scenario 1_Combined-Lightgbm,39.79456184072738,53.1465008876044,0.9922580963548594,lightgbm
Scenario 2_COVID-Lightgbm,40.74205249795423,53.17262518051723,0.9925727127611752,lightgbm
Scenario 2_CNY-Lightgbm,41.53966205094478,54.58845020325016,0.9934658256599409,lightgbm
Scenario 2_Typical_Day-Lightgbm,33.055797461062454,44.5963093480494,0.9954426857578687,lightgbm
Scenario 2_Saturday-Lightgbm,42.04535858634004,57.13738542590969,0.9882548410252999,lightgbm
Scenario 2_Sunday-Lightgbm,40.00148413800717,56.14869586576103,0.9879308664140365,lightgbm
Scenario 2_Combined-Lightgbm,39.79456184072738,53.1465008876044,0.9922580963548594,lightgbm
Scenario 3_COVID-Lightgbm,22.836214738848188,29.875820560441095,0.9976552653583716,lightgbm
Scenario 3_CNY-Lightgbm,26.744323574490426,35.46752953098909,0.9972416392360437,lightgbm
Scenario 3_Typical_Day-Lightgbm,22.629463320239715,32.79457163474816,0.9975355780858399,lightgbm
Scenario 3_Saturday-Lightgbm,23.231904249218008,32.89418212187451,0.9961072513942881,lightgbm
Scenario 3_Sunday-Lightgbm,24.05637191166793,35.43022019949045,0.9951944350646987,lightgbm
Scenario 3_Combined-Lightgbm,22.358406224761797,30.618426796110167,0.9974304081022988,lightgbm
Scenario 1_COVID-Catboost,42.83922292878639,54.80328782390629,0.9921101773128703,catboost
Scenario 1_CNY-Catboost,43.261451519990686,56.638550990382114,0.9929658203352526,catboost
Scenario 1_Typical_Day-Catboost,34.161842097013185,45.00083255961652,0.9953596340171083,catboost
Scenario 1_Saturday-Catboost,42.54803522942104,57.7299560424796,0.9880099601579057,catboost
Scenario 1_Sunday-Catboost,39.23296480656602,54.589010887725074,0.9885920608068245,catboost
Scenario 1_Combined-Catboost,41.03811215681124,54.61106978524425,0.9918255267416852,catboost
Scenario 2_COVID-Catboost,42.83922292878639,54.80328782390629,0.9921101773128703,catboost
Scenario 2_CNY-Catboost,43.261451519990686,56.638550990382114,0.9929658203352526,catboost
Scenario 2_Typical_Day-Catboost,34.161842097013185,45.00083255961652,0.9953596340171083,catboost
Scenario 2_Saturday-Catboost,42.54803522942104,57.7299560424796,0.9880099601579057,catboost
Scenario 2_Sunday-Catboost,39.23296480656602,54.589010887725074,0.9885920608068245,catboost
Scenario 2_Combined-Catboost,41.03811215681124,54.61106978524425,0.9918255267416852,catboost
Scenario 3_COVID-Catboost,34.7559233233655,44.006585249470014,0.9949126764934992,catboost
Scenario 3_CNY-Catboost,36.197227893809796,46.31120767075435,0.9952971470284676,catboost
Scenario 3_Typical_Day-Catboost,30.913998641695567,40.95123065054627,0.9961572241554679,catboost
Scenario 3_Saturday-Catboost,30.46309390975425,41.4620243705066,0.9938152923170113,catboost
Scenario 3_Sunday-Catboost,31.105158015713023,43.04555740633991,0.9929066168494246,catboost
Scenario 3_Combined-Catboost,31.355853499200023,41.482709463853666,0.995283360987081,catboost
